,id,lat,lon,elevation,state,desc
0,USW00003016,39.5264,-107.7264,1685.5,CO,RIFLE GARFIELD CO AP
1,USW00003017,39.8328,-104.6575,1650.2,CO,CO DENVER INTL AP
2,USW00003024,35.6950,-101.3950,930.9,TX,BORGER HUTCHINSON CO AP
3,USW00003026,39.2447,-102.2842,1277.7,CO,CO BURLINGTON CARSON AP
4,USW00003027,35.0028,-105.6628,2159.8,NM,NM CLINES CORNERS
5,USW00003028,37.2833,-102.6139,1335.9,CO,CO SPRINGFIELD COMANCHE
6,USW00003029,35.6575,-109.0614,2054.0,AZ,WINDOW ROCK AP
7,USW00003030,36.6817,-101.5053,951.9,OK,GUYMON MUNI AP
8,USW00003031,31.9206,-102.3867,914.7,TX,TX ODESSA SCHLEMEYER FLD
9,USW00003032,30.0481,-102.2131,707.7,TX,DRYDEN TERRELL CO AP
10,USW00003047,31.6219,-102.8072,830.3,TX,MONAHANS 6 ENE
11,USW00003048,34.3558,-106.8858,1477.4,NM,SOCORRO 20 N
12,USW00003054,33.9558,-102.7739,1140.6,TX,MULESHOE 19 S
13,USW00003055,36.5992,-101.5950,995.5,OK,GOODWELL 2 E
14,USW00003060,38.5439,-107.6928,2560.9,CO,MONTROSE 11 ENE
15,USW00003061,37.2553,-108.5036,2448.8,CO,CORTEZ 8 SE
16,USW00003062,35.8583,-106.5214,2656.6,NM,ALAMOS 13 W
17,USW00003063,37.8639,-103.8225,1336.9,CO,JUNTA 17 WSW
18,USW00003067,38.8700,-100.9628,874.8,KS,OAKLEY 19 SSW
19,USW00003072,32.0408,-100.2494,608.7,TX,BRONTE 11 NNE
20,USW00003074,32.6136,-106.7414,1318.9,NM,CRUCES 20 N
21,USW00003102,34.0561,-117.6003,289.3,CA,ONTARIO INTL AP
22,USW00003103,35.1442,-111.6664,2134.5,AZ,AZ FLAGSTAFF PULLIAM AP
23,USW00003104,33.6267,-116.1594,-36.0,CA,DESERT RESORTS RGNL AP
24,USW00003122,33.8017,-118.3411,27.4,CA,TORRANCE AP
25,USW00003124,31.5883,-110.3442,1438.4,AZ,AZ FORT HUACHUCA
26,USW00003125,32.8356,-114.3942,98.8,AZ,AZ YUMA PROVING GROUND
27,USW00003131,32.8158,-117.1394,127.1,CA,CA SAN DIEGO MONTGOMERY FLD
28,USW00003144,32.8342,-115.5786,-17.7,CA,IMPERIAL CO AP
29,USW00003145,32.6500,-114.6167,64.9,AZ,YUMA MCAS
30,USW00003154,33.3000,-117.3500,22.9,CA,CA CAMP PENDLETON MCAS
31,USW00003159,34.7411,-118.2117,712.6,CA,WM J FOX FLD
32,USW00003160,36.6206,-116.0278,984.5,NV,NV MERCURY DESERT ROCK AP
33,USW00003162,36.9261,-111.4478,1313.7,AZ,PAGE MUNI AP
34,USW00003164,32.6233,-116.4728,801.6,CA,CAMPO
35,USW00003166,33.8719,-117.9789,29.3,CA,FULLERTON MUNI AP
36,USW00003167,33.9228,-118.3342,19.2,CA,HAWTHORNE MUNI AP
37,USW00003170,39.6014,-116.0056,1809.3,NV,NV EUREKA AIRPORT
38,USW00003171,33.9519,-117.4386,245.4,CA,RIVERSIDE MUNI AP
39,USW00003177,33.1281,-117.2794,100.0,CA,CA CARLSBAD PALOMAR AP
40,USW00003178,32.5722,-116.9794,157.0,CA,SAN DIEGO BROWN FLD
41,USW00003179,33.9753,-117.6361,198.1,CA,AP
42,USW00003184,33.6883,-112.0817,443.5,AZ,PHOENIX DEER VALLEY MUNI AP
43,USW00003192,33.6228,-111.9106,449.0,AZ,SCOTTSDALE MUNI AP
44,USW00003195,35.9461,-112.1547,2013.5,AZ,CANYON NP AP
45,USW00003196,31.4208,-110.8458,1198.5,AZ,NOGALES INTL AP
46,USW00003728,33.1533,-79.3636,2.7,SC,SC MCCLELLANVILLE 7 NE
47,USW00003733,39.0131,-79.4742,1033.3,WV,ELKINS 21 ENE
48,USW00003739,37.2908,-75.9269,8.8,VA,CHARLES 5 ENE
49,USW00003749,39.6450,-77.4681,563.0,MD,CAMP DAVID
50,USW00003757,38.1417,-76.4292,6.4,MD,ST INIGOES WEBSTER NOLF
51,USW00003758,35.9706,-79.0931,171.3,NC,DURHAM 11 W
52,USW00003759,37.9975,-78.4656,358.7,VA,VA CHARLOTTESVILLE 2 SSE
53,USW00003761,39.8592,-75.7861,121.9,PA,AVONDALE 2 N
54,USW00003802,39.2956,-80.2289,366.7,WV,WV CLARKSBURG BENEDUM AP
55,USW00003804,39.3450,-81.4392,253.3,WV,WV PARKERSBURG WOOD CO AP
56,USW00003809,36.0003,-89.4100,91.4,TN,DYERSBURG III GOLF
57,USW00003810,35.7425,-81.3819,348.4,NC,NC HICKORY FAA AP
58,USW00003811,35.5931,-88.9167,132.0,TN,TN JACKSON MCKELLAR AP
59,USW00003812,35.4319,-82.5375,645.3,NC,NC ASHEVILLE RGNL AP
60,USW00003813,32.6847,-83.6528,104.5,GA,MACON MIDDLE GA RGNL AP
61,USW00003816,37.0683,-88.7719,119.5,KY,KY PADUCAH
62,USW00003818,30.8356,-85.1839,34.4,FL,FL MARIANNA MUNI AP
63,USW00003820,33.3644,-81.9633,40.2,GA,GA AUGUSTA BUSH FLD AP
64,USW00003822,32.1300,-81.2100,14.0,GA,GA SAVANNAH INTL AP
65,USW00003841,36.0028,-84.2486,275.8,TN,OAK RIDGE ATDD
66,USW00003847,35.9508,-85.0814,569.1,TN,TN CROSSVILLE MEM AP
67,USW00003849,37.0872,-84.0769,362.1,KY,KY LONDON CORBIN AP
68,USW00003850,31.2667,-85.7167,91.1,AL,CAIRNS FLD FT RUCKER
69,USW00003852,30.4167,-86.6833,11.9,FL,FL VALPARAISO HURLBURT FLD
70,USW00003853,30.4000,-81.4167,4.9,FL,MAYPORT PILOT STN
71,USW00003855,30.3500,-87.3167,8.5,FL,FL PENSACOLA FOREST SHERMAN NAS
72,USW00003856,34.6439,-86.7861,190.2,AL,AL HUNTSVILLE INTL AP
73,USW00003859,37.2958,-81.2078,874.8,WV,BLUEFIELD MERCER CO AP
74,USW00003860,38.3650,-82.5550,251.2,WV,WV HUNTINGTON TRI STATE AP
75,USW00003866,32.5500,-88.5667,82.6,MS,MERIDIAN NAAS
76,USW00003868,39.4519,-87.3089,175.3,IN,TERRE HAUTE HULMAN RGNL AP
77,USW00003870,34.8831,-82.2203,286.5,SC,GREER
78,USW00003872,37.7836,-81.1231,766.3,WV,WV BECKLEY RALEIGH CO AP
79,USW00003878,31.8606,-86.0122,121.0,AL,MUNI AP
80,USW00003881,32.8661,-87.2383,137.2,AL,AL CENTREVILLE 6 SW
81,USW00003882,30.2119,-85.6828,6.4,FL,CITY BAY CO AP
82,USW00003887,39.8344,-88.8656,205.7,IL,DECATUR AP
83,USW00003888,33.7792,-84.5214,256.0,GA,ATLANTA FULTON CO AP
84,USW00003889,37.5908,-83.3131,415.7,KY,KY JACKSON
85,USW00003893,39.1333,-86.6167,257.3,IN,IN BLOOMINGTON MONROE CO AP
86,USW00003894,36.6239,-87.4194,170.7,TN,TN CLARKSVILLE OUTLAW AP
87,USW00003901,32.3847,-94.7117,111.3,TX,LONGVIEW E TX RGNL AP
88,USW00003902,31.0667,-97.8333,309.4,TX,ROBERT GRAY AAF
