lat,lon
39.5264,-107.7264
39.8328,-104.6575
35.695,-101.395
39.2447,-102.2842
35.0028,-105.6628
37.2833,-102.6139
35.6575,-109.0614
36.6817,-101.5053
31.9206,-102.3867
30.0481,-102.2131
31.6219,-102.8072
34.3558,-106.8858
33.9558,-102.7739
36.5992,-101.595
38.5439,-107.6928
37.2553,-108.5036
35.8583,-106.5214
37.8639,-103.8225
38.87,-100.9628
32.0408,-100.2494
32.6136,-106.7414
34.0561,-117.6003
35.1442,-111.6664
33.6267,-116.1594
33.8017,-118.3411
31.5883,-110.3442
32.8356,-114.3942
32.8158,-117.1394
32.8342,-115.5786
32.65,-114.6167
33.3,-117.35
34.7411,-118.2117
36.6206,-116.0278
36.9261,-111.4478
32.6233,-116.4728
33.8719,-117.9789
33.9228,-118.3342
39.6014,-116.0056
33.9519,-117.4386
33.1281,-117.2794
32.5722,-116.9794
33.9753,-117.6361
33.6883,-112.0817
33.6228,-111.9106
35.9461,-112.1547
31.4208,-110.8458
33.1533,-79.3636
39.0131,-79.4742
37.2908,-75.9269
39.645,-77.4681
38.1417,-76.4292
35.9706,-79.0931
37.9975,-78.4656
39.8592,-75.7861
39.2956,-80.2289
39.345,-81.4392
36.0003,-89.41
35.7425,-81.3819
35.5931,-88.9167
35.4319,-82.5375
32.6847,-83.6528
37.0683,-88.7719
30.8356,-85.1839
33.3644,-81.9633
32.13,-81.21
36.0028,-84.2486
35.9508,-85.0814
37.0872,-84.0769
31.2667,-85.7167
30.4167,-86.6833
30.4,-81.4167
30.35,-87.3167
34.6439,-86.7861
37.2958,-81.2078
38.365,-82.555
32.55,-88.5667
39.4519,-87.3089
34.8831,-82.2203
37.7836,-81.1231
31.8606,-86.0122
32.8661,-87.2383
30.2119,-85.6828
39.8344,-88.8656
33.7792,-84.5214
37.5908,-83.3131
39.1333,-86.6167
36.6239,-87.4194
32.3847,-94.7117
31.0667,-97.8333
30.5892,-96.3647
38.8,-97.65
37.6167,-97.2667
32.8978,-97.0189
37.6544,-97.4425
34.9167,-92.15
31.05,-93.1833
35.21,-99.12
31.1333,-97.7167
37.2253,-89.5706
39.1353,-96.6778
30.125,-93.2158
32.3206,-90.0778
38.8169,-92.2183
39.2972,-94.7306
31.4,-93.2833
34.5583,-98.4172
32.35,-94.65
34.8364,-92.2619
35.8311,-90.6464
35.5342,-97.6469
37.2839,-98.5528
36.7683,-96.0261
38.5714,-90.1572
34.29,-93.06
38.5911,-92.1558
36.1625,-97.0894
38.6572,-90.6558
38.85,-94.7392
32.2314,-98.2319
32.6808,-96.8681
37.7461,-97.2211
36.7725,-90.3247
34.3622,-98.9761
33.2061,-97.1989
38.7042,-93.1833
32.35,-91.0278
39.0083,-95.2117
37.3278,-95.5042
30.7406,-98.2353
46.1442,-115.5964
42.7267,-114.4564
41.2731,-111.0306
44.1708,-114.9272
45.8258,-119.2611
44.5228,-114.215
44.5561,-119.6458
43.4622,-113.5561
43.2044,-116.7506
43.4711,-119.6917
48.7411,-113.4331
