lat,lon,id,elevation,state,desc
39.5264,-107.7264,USW00003016,1685.5,CO,RIFLE GARFIELD CO AP
39.8328,-104.6575,USW00003017,1650.2,CO,CO DENVER INTL AP
35.695,-101.395,USW00003024,930.9,TX,BORGER HUTCHINSON CO AP
39.2447,-102.2842,USW00003026,1277.7,CO,CO BURLINGTON CARSON AP
35.0028,-105.6628,USW00003027,2159.8,NM,NM CLINES CORNERS
37.2833,-102.6139,USW00003028,1335.9,CO,CO SPRINGFIELD COMANCHE
35.6575,-109.0614,USW00003029,2054,AZ,WINDOW ROCK AP
36.6817,-101.5053,USW00003030,951.9,OK,GUYMON MUNI AP
31.9206,-102.3867,USW00003031,914.7,TX,TX ODESSA SCHLEMEYER FLD
30.0481,-102.2131,USW00003032,707.7,TX,DRYDEN TERRELL CO AP
31.6219,-102.8072,USW00003047,830.3,TX,MONAHANS 6 ENE
34.3558,-106.8858,USW00003048,1477.4,NM,SOCORRO 20 N
33.9558,-102.7739,USW00003054,1140.6,TX,MULESHOE 19 S
36.5992,-101.595,USW00003055,995.5,OK,GOODWELL 2 E
38.5439,-107.6928,USW00003060,2560.9,CO,MONTROSE 11 ENE
37.2553,-108.5036,USW00003061,2448.8,CO,CORTEZ 8 SE
35.8583,-106.5214,USW00003062,2656.6,NM,ALAMOS 13 W
37.8639,-103.8225,USW00003063,1336.9,CO,JUNTA 17 WSW
38.87,-100.9628,USW00003067,874.8,KS,OAKLEY 19 SSW
32.0408,-100.2494,USW00003072,608.7,TX,BRONTE 11 NNE
32.6136,-106.7414,USW00003074,1318.9,NM,CRUCES 20 N
34.0561,-117.6003,USW00003102,289.3,CA,ONTARIO INTL AP
35.1442,-111.6664,USW00003103,2134.5,AZ,AZ FLAGSTAFF PULLIAM AP
33.6267,-116.1594,USW00003104,-36,CA,DESERT RESORTS RGNL AP
33.8017,-118.3411,USW00003122,27.4,CA,TORRANCE AP
31.5883,-110.3442,USW00003124,1438.4,AZ,AZ FORT HUACHUCA
32.8356,-114.3942,USW00003125,98.8,AZ,AZ YUMA PROVING GROUND
32.8158,-117.1394,USW00003131,127.1,CA,CA SAN DIEGO MONTGOMERY FLD
32.8342,-115.5786,USW00003144,-17.7,CA,IMPERIAL CO AP
32.65,-114.6167,USW00003145,64.9,AZ,YUMA MCAS
33.3,-117.35,USW00003154,22.9,CA,CA CAMP PENDLETON MCAS
34.7411,-118.2117,USW00003159,712.6,CA,WM J FOX FLD
36.6206,-116.0278,USW00003160,984.5,NV,NV MERCURY DESERT ROCK AP
36.9261,-111.4478,USW00003162,1313.7,AZ,PAGE MUNI AP
32.6233,-116.4728,USW00003164,801.6,CA,CAMPO
33.8719,-117.9789,USW00003166,29.3,CA,FULLERTON MUNI AP
33.9228,-118.3342,USW00003167,19.2,CA,HAWTHORNE MUNI AP
39.6014,-116.0056,USW00003170,1809.3,NV,NV EUREKA AIRPORT
33.9519,-117.4386,USW00003171,245.4,CA,RIVERSIDE MUNI AP
33.1281,-117.2794,USW00003177,100,CA,CA CARLSBAD PALOMAR AP
32.5722,-116.9794,USW00003178,157,CA,SAN DIEGO BROWN FLD
33.9753,-117.6361,USW00003179,198.1,CA,AP
33.6883,-112.0817,USW00003184,443.5,AZ,PHOENIX DEER VALLEY MUNI AP
33.6228,-111.9106,USW00003192,449,AZ,SCOTTSDALE MUNI AP
35.9461,-112.1547,USW00003195,2013.5,AZ,CANYON NP AP
31.4208,-110.8458,USW00003196,1198.5,AZ,NOGALES INTL AP
33.1533,-79.3636,USW00003728,2.7,SC,SC MCCLELLANVILLE 7 NE
39.0131,-79.4742,USW00003733,1033.3,WV,ELKINS 21 ENE
37.2908,-75.9269,USW00003739,8.8,VA,CHARLES 5 ENE
39.645,-77.4681,USW00003749,563,MD,CAMP DAVID
38.1417,-76.4292,USW00003757,6.4,MD,ST INIGOES WEBSTER NOLF
35.9706,-79.0931,USW00003758,171.3,NC,DURHAM 11 W
37.9975,-78.4656,USW00003759,358.7,VA,VA CHARLOTTESVILLE 2 SSE
39.8592,-75.7861,USW00003761,121.9,PA,AVONDALE 2 N
39.2956,-80.2289,USW00003802,366.7,WV,WV CLARKSBURG BENEDUM AP
39.345,-81.4392,USW00003804,253.3,WV,WV PARKERSBURG WOOD CO AP
36.0003,-89.41,USW00003809,91.4,TN,DYERSBURG III GOLF
35.7425,-81.3819,USW00003810,348.4,NC,NC HICKORY FAA AP
35.5931,-88.9167,USW00003811,132,TN,TN JACKSON MCKELLAR AP
35.4319,-82.5375,USW00003812,645.3,NC,NC ASHEVILLE RGNL AP
32.6847,-83.6528,USW00003813,104.5,GA,MACON MIDDLE GA RGNL AP
37.0683,-88.7719,USW00003816,119.5,KY,KY PADUCAH
30.8356,-85.1839,USW00003818,34.4,FL,FL MARIANNA MUNI AP
33.3644,-81.9633,USW00003820,40.2,GA,GA AUGUSTA BUSH FLD AP
32.13,-81.21,USW00003822,14,GA,GA SAVANNAH INTL AP
36.0028,-84.2486,USW00003841,275.8,TN,OAK RIDGE ATDD
35.9508,-85.0814,USW00003847,569.1,TN,TN CROSSVILLE MEM AP
37.0872,-84.0769,USW00003849,362.1,KY,KY LONDON CORBIN AP
31.2667,-85.7167,USW00003850,91.1,AL,CAIRNS FLD FT RUCKER
30.4167,-86.6833,USW00003852,11.9,FL,FL VALPARAISO HURLBURT FLD
30.4,-81.4167,USW00003853,4.9,FL,MAYPORT PILOT STN
30.35,-87.3167,USW00003855,8.5,FL,FL PENSACOLA FOREST SHERMAN NAS
34.6439,-86.7861,USW00003856,190.2,AL,AL HUNTSVILLE INTL AP
37.2958,-81.2078,USW00003859,874.8,WV,BLUEFIELD MERCER CO AP
38.365,-82.555,USW00003860,251.2,WV,WV HUNTINGTON TRI STATE AP
32.55,-88.5667,USW00003866,82.6,MS,MERIDIAN NAAS
39.4519,-87.3089,USW00003868,175.3,IN,TERRE HAUTE HULMAN RGNL AP
34.8831,-82.2203,USW00003870,286.5,SC,GREER
37.7836,-81.1231,USW00003872,766.3,WV,WV BECKLEY RALEIGH CO AP
31.8606,-86.0122,USW00003878,121,AL,MUNI AP
32.8661,-87.2383,USW00003881,137.2,AL,AL CENTREVILLE 6 SW
30.2119,-85.6828,USW00003882,6.4,FL,CITY BAY CO AP
39.8344,-88.8656,USW00003887,205.7,IL,DECATUR AP
33.7792,-84.5214,USW00003888,256,GA,ATLANTA FULTON CO AP
37.5908,-83.3131,USW00003889,415.7,KY,KY JACKSON
39.1333,-86.6167,USW00003893,257.3,IN,IN BLOOMINGTON MONROE CO AP
36.6239,-87.4194,USW00003894,170.7,TN,TN CLARKSVILLE OUTLAW AP
32.3847,-94.7117,USW00003901,111.3,TX,LONGVIEW E TX RGNL AP
31.0667,-97.8333,USW00003902,309.4,TX,ROBERT GRAY AAF
30.5892,-96.3647,USW00003904,93,TX,TX COLLEGE STN
38.8,-97.65,USW00003919,386.8,KS,SALINA MUNI AP
37.6167,-97.2667,USW00003923,413.9,KS,KS WICHITA MCCONNELL AFB
32.8978,-97.0189,USW00003927,170.7,TX,DALLAS FT WORTH AP
37.6544,-97.4425,USW00003928,406.9,KS,KS WICHITA
34.9167,-92.15,USW00003930,103,AR,LITTLE ROCK AFB
31.05,-93.1833,USW00003931,100.6,LA,FT POLK AAF
35.21,-99.12,USW00003932,585.8,OK,CLINTON SHERMAN AP
